DUST	SO2	NO2	DAYS	
0.109	0.029	0.052	281	
0.105	0.048	0.042	305	
0.098	0.058	0.04	322	
0.08	0.056	0.026	324	
0.091	0.051	0.037	348	
0.092	0.058	0.036	329	
0.087	0.03	0.044	339	
0.094	0.036	0.047	319	
0.071	0.023	0.046	343	
0.102	0.033	0.051	317	
0.087	0.035	0.053	336	
0.098	0.019	0.027	331	
0.06	0.008	0.035	364	
0.088	0.045	0.039	330	
0.104	0.055	0.041	324	
0.105	0.051	0.046	319	
0.097	0.03	0.054	321	
0.088	0.028	0.044	332	
0.069	0.022	0.049	360	
0.069	0.019	0.033	352	
0.034	0.006	0.019	366	
0.09	0.037	0.035	340	
0.119	0.033	0.051	293	
0.073	0.031	0.028	351	
0.067	0.034	0.036	365	
0.049	0.008	0.024	364	
0.118	0.04	0.042	306	
0.136	0.041	0.039	270	
0.105	0.035	0.026	315	
0.099	0.044	0.037	329
0.145	0.058	0.068	292

