X1	X2	X3	X4	X5	X6
7296.0	292.13	69.97	0.095	5.7	12208.0
7395.0	346.57	79.6	0.099	6.1	12682.0
7494.0	395.38	85.0	0.103	6.11	13109.0
7564.0	459.83	96.46	0.107	6.65	14839.0
7637.0	581.56	140.15	0.123	6.9	17309.0
7711.0	680.46	194.33	0.132	7.77	19772.0
7818.0	742.05	223.08	0.125	9.15	26459.0
7958.0	892.29	297.77	0.132	9.61	25209.0
8061.0	1117.66	369.82	0.162	9.96	29035.0
8160.0	1293.94	305.54	0.182	10.25	30718.0
8493.0	1511.19	335.66	0.186	10.05	29798.0
8570.0	1810.54	439.82	0.193	10.49	31931.0
8610.0	2196.53	601.5	0.205	10.8	33920.0
8642.0	2779.49	892.48	0.219	11.2	33634.0
8671.0	3872.18	1108.0	0.24	11.88	34467.0
8765.0	5002.34	1320.97	0.248	12.35	36425.0
8738.0	5960.42	1558.01	0.259	12.13	39199.0
8785.0	6650.02	1792.22	0.263	12.7	43218.0
8838.0	7162.2	2056.97	0.26	12.82	50558.0
8883.0	7662.1	2243.9	0.261	13.1	59350.0
