source,spot,time,userid,content,star
美团,周庄,2019-02-14 11:30:52,rVt661199088,"一共是五分的话，这次的周庄之行，我给4.5分。👼
  周庄标注自己说是江南第一水乡。的的确确，周庄边临南湖，即使是在冬季，南湖之上片片船帆青轻盈湖上，我似乎也能够感受到春日的气息。这次旅行最喜欢的就是宽广水域。湖边，清澈的湖水与特色的灰黑色间白色建筑相映成趣。（图3）
  其次周庄的旅游业能够发展的如此之兴盛，和她的人文底蕴，以及昆曲的推广密切相关。（图3456🙆🙆）图4是当地居民广泛参与昆曲的传唱、演练，自觉地推广，并且乐在其中。我们不难看出他们不是专业的演员，但是他们生动的演绎也别有一番风味。
  值得一提的还有美食啦。✌当地居民沿河居，很多当地居民自己开了饭店，也许是一种谋生，许是一种追求。他们热情好客，我们随便选了一家店，意外地发现这边的餐饮很是便宜，并且味道也是极好的。万三蹄膀自是不用说，河蚌豆腐让我们一家人都好评不断呢。
  最后，过年期间人流量很大，从图2我们不难发现，周庄沿河的店铺林立，河道中小船也挤挤密密的，可以说是“座无虚席”。（其实我们最后回家的原因是因为在双桥边，堵塞了5分钟，根本走不通，哈哈。）😱",4.0
美团,周庄,2019-01-31 14:38:51,秀秀秀妹纸,小时候语文书本上就有一篇描写的周庄的文章，这次是闻名而来。从上海浦东出发的，坐了一个多小时地铁转公交车坐了一个小时，最后还有很长一截路等不到车的，只能打车过去。下午快两点才到的景区，团购的券，进去的时候可以去拍照，三天之内进出周庄园都是免费的，景区人不是很多，去的时候天气比较冷加上周庄里都是水庄，虽然有点太阳也是冻得不行，所以就走马观花的逛了三个多小时，景色是非常不错的，如果有时间的话住上一个晚上体验一下周庄安逸的生活想必也是很好的。景点有张厅沈厅双桥，还有叶楚仓故居 太史淀 迷楼等等，一票全通的。下次有时间再好好来逛逛，唯一不好的就是交通不方便，不是自己开车过去的话坐车很麻烦，其他都还不错,4.0
美团,周庄,2019-02-10 12:54:55,阿芮的小暖意,过年去的，人有点多，拍照的时候已经是避开人群拍的了。正好美团优惠，两个成人带一个老人（免票），重点提一下消费水平，千万别在景区门外那一片吃，宰人有点狠，景区里面有很多价格都还算正常的，但是得稍微往深处走一走。,4.0
美团,周庄,2019-02-07 01:06:04,顾挽啊啊,下午到晚上逛的挺多的  历史痕迹很容易让人联想以前岁月的点滴  夜景也好看  作为苏州人的话 海棠糕青团这种小吃是从小吃到大所以没买  哈哈还有就是到处可见的猪蹄 猪蹄猪蹄,5.0
美团,周庄,2019-03-23 12:45:05,葶苈少女,风景还是很不错的，就是第一次去老是迷路，然后在三毛茶馆坐了好久，喝喝茶还可以望着窗外看来来往往的船只和行人，很不错的体验,5.0
美团,周庄,2019-02-23 19:51:20,自定义scandal,其实，对比上海朱家角的免费和南京总统府40元买票，周庄的门票88价格是有点高。里面一些项目要钱，比方说怪楼和走马什么来着。都要另外出30 元。总觉得，这点不好。而且，去免费的厅还要重新查票。搞笑嘞，我都在里面了，还要再查一次，光查票查了好多次，太古董了。不符合现在智能化时代。总之，我感觉，这种地方，来一次感受一下就行。,3.0
美团,周庄,2019-01-22 12:28:14,酒暖回忆思念馊,在旅游景点工作人员推荐买的，服务不错，闻名已久。附近的风景确实也不错，两边都是吃的工艺品，人流量也蛮大的。「《四季周庄》」可惜去的时节不对，没有看到表演，网评都很赞的。「沈厅」沈万三的故居值得一看，可以领略下当初的富贵人家是多么土豪～,4.0
美团,周庄,2019-03-23 21:36:40,mimi79,走到逸飞之家，才找到地图，得知还是漏了两个地方。有机会，还要再去一次，下次要在三毛茶楼喝茶！！,3.0
美团,周庄,2019-02-07 09:01:33,zhangliang12306,第二次来周庄了，七年前第一来留下了深刻的印象，感觉就是水乡中的战斗机。这次专门带家人来的，水乡还是那么有灵韵。不过正值大年初二，各方游客云集，正是水泄不通，想找个安静的地方都不可得。最遗憾的是，游船都排到爪哇岛了，可能是下次还要来的缘故吧。,5.0
美团,周庄,2019-02-13 19:46:04,amuy慕,不错，来第二次了，春节期间来的人特别多，上次是暑假来的人都没有这么多， 来这必袜底酥，万三蹄，中午来的，下午在车里休息一会晚上又溜达了一圈，挺不错的！推荐来这里玩,4.0
美团,周庄,2019-02-22 22:42:22,wFY687336449,第一次来到周庄，水乡婉约的气质是我深深地迷恋！有机会一定要带着父母和爱人一起逛周庄！,5.0
美团,周庄,2019-02-10 18:55:27,SqR692801627,希望以后每一年都带爸妈去一个像周庄一样风景美丽，让人心情愉悦的地方。今年是连续第二年春节在旅途中度过了。把这些美好的记忆留存在心间，往后的日子细细品味这些美丽和精彩。,4.0
美团,周庄,2019-02-23 21:49:43,匿名用户,环境不错，吃的有点小贵服务满意,4.0
美团,周庄,2019-02-06 18:10:05,JuanJuanwata,初二游古镇，人很多，沈厅，张厅，双桥是特色，怪楼也很受孩子们喜欢，愉快的一天,4.0
美团,周庄,2019-02-07 20:18:58,（阿杰）,还可以吧，没有想象的那么好，几大古镇中个人感觉还是同里最好，退思园，珍珠塔，罗星洲，几个景点是所有古镇最值得游的，景点又大风景又美。,3.0
美团,周庄,2019-02-17 13:19:23,pGn269621715,设施一般，服务一般，商业化多了，没有想的好，但是适合慢节奏游玩，欣赏江南的小乔流水人家。,3.0
美团,周庄,2019-02-10 22:04:30,宁静致远63036,江南水乡好美！！！,5.0
美团,周庄,2019-02-10 18:51:18,SqR692801627,体验了江南水乡的味道，见到了多少楼台烟雨中的美景，值得细细品味，在2019年春节一家人在周庄留下了美好的记忆，喜悦常伴。,4.0
